program,mode,approx_type,N,dist,K,seed,tempo,cycles,instructions,cache_references,cache_misses,checksum,error_abs_mean,error_rel_mean,rmse,error_max
conv_malloc,exact,none,512,1,3,12346,0.002507,58800745,111786995,460136,111506,-651.556333,0,0,0,0
conv_linear_approx,approx,float,512,1,3,12346,0.004070,66642336,135907254,411154,130883,-651.556334,0.000000019465,0.000000978745,0.000000026249,0.000000205457
conv_linear_approx,approx,skip_kernel,512,1,3,12346,0.002398,60290038,115908236,341116,108644,-649.647005,0.209748245305,17.199269282937,0.263956940889,1.191359411844
conv_malloc_approx,approx,float,512,1,3,12346,0.003623,64756228,125607345,584080,143211,-651.556334,0.000000019465,0.000000978745,0.000000026249,0.000000205457
conv_malloc_approx,approx,skip_kernel,512,1,3,12346,0.002397,60742726,108727594,484606,106779,-649.647005,0.209748245305,17.199269282937,0.263956940889,1.191359411844
conv_linear,exact,none,512,1,3,12347,0.003455,63468964,124025260,376476,133439,-527.688761,0,0,0,0
conv_malloc,exact,none,512,1,3,12347,0.002712,59111985,111906696,488077,116589,-527.688761,0,0,0,0
conv_linear_approx,approx,float,512,1,3,12347,0.004373,66479724,135851031,407314,130753,-527.688765,0.000000019766,0.000000480657,0.000000027333,0.000000266257
conv_linear_approx,approx,skip_kernel,512,1,3,12347,0.002592,60090443,115900452,345838,110551,-517.045571,0.255397748616,8.617134615908,0.321029200400,1.472998865090
conv_malloc_approx,approx,float,512,1,3,12347,0.003944,65018037,125643637,590194,141536,-527.688765,0.000000019766,0.000000480657,0.000000027333,0.000000266257
